iter	Passed	Remaining
0	47	47751
1	48	24114
2	48	16196
3	49	12240
4	49	9863
5	49	8270
6	51	7236
7	51	6376
8	51	5708
9	52	5171
10	52	4735
11	53	4368
12	53	4060
13	53	3794
14	54	3565
15	54	3363
16	55	3187
17	55	3029
18	56	2894
19	56	2767
20	56	2651
21	57	2546
22	57	2451
23	58	2363
24	58	2281
25	58	2207
26	59	2138
27	59	2073
28	60	2013
29	60	1959
30	61	1907
31	61	1858
32	61	1813
33	62	1769
34	62	1728
35	63	1689
36	63	1652
37	63	1619
38	64	1586
39	64	1556
40	65	1526
41	65	1498
42	66	1471
43	66	1445
44	66	1420
45	67	1396
46	67	1374
47	68	1352
48	68	1332
49	69	1312
50	69	1294
51	70	1276
52	70	1258
53	70	1241
54	71	1225
55	71	1209
56	72	1194
57	72	1180
58	73	1166
59	73	1153
60	74	1139
61	74	1126
62	74	1113
63	75	1101
64	75	1089
65	76	1077
66	76	1066
67	76	1052
68	77	1041
69	77	1031
70	78	1021
71	78	1011
72	78	1001
73	79	992
74	79	984
75	80	976
76	80	967
77	81	959
78	81	950
79	81	942
80	82	934
81	82	927
82	83	919
83	83	912
84	84	905
85	84	898
86	84	890
87	85	883
88	85	877
89	86	870
90	86	864
91	86	858
92	87	852
93	87	847
94	88	842
95	88	836
96	89	830
97	89	825
98	90	820
99	90	814
100	90	809
101	91	803
102	91	798
103	92	793
104	92	788
105	92	783
106	93	778
107	93	773
108	94	769
109	94	764
110	94	760
111	95	755
112	95	751
113	96	747
114	96	742
115	96	737
116	97	733
117	97	729
118	97	725
119	98	721
120	98	717
121	99	713
122	99	708
123	99	704
124	100	701
125	100	698
126	101	694
127	101	690
128	101	687
129	102	683
130	102	680
131	103	677
132	103	674
133	103	671
134	104	668
135	104	665
136	105	662
137	105	658
138	105	655
139	106	653
140	106	649
141	106	646
142	107	642
143	107	639
144	107	636
145	108	632
146	108	629
147	108	626
148	109	622
149	109	619
150	109	616
151	109	613
152	110	610
153	110	607
154	110	604
155	111	601
156	111	598
157	111	595
158	112	592
159	112	589
160	112	587
161	112	584
162	113	581
163	113	579
164	113	576
165	114	573
166	114	571
167	114	568
168	115	565
169	115	562
170	115	560
171	115	557
172	116	555
173	116	552
174	116	550
175	117	548
176	117	545
177	117	543
178	117	540
179	118	538
180	118	535
181	118	533
182	118	531
183	119	528
184	119	526
185	119	524
186	120	522
187	120	520
188	120	517
189	120	515
190	121	513
191	121	511
192	121	509
193	122	507
194	122	505
195	122	503
196	122	501
197	123	499
198	123	496
199	123	494
200	124	492
201	124	490
202	124	489
203	124	487
204	125	485
205	125	483
206	125	481
207	125	479
208	126	477
209	126	476
210	126	474
211	127	472
212	127	470
213	127	468
214	127	466
215	128	465
216	128	463
217	128	461
218	129	460
219	129	458
220	129	456
221	129	455
222	130	453
223	130	452
224	130	450
225	131	449
226	131	447
227	131	446
228	132	444
229	132	442
230	132	441
231	132	439
232	133	438
233	133	436
234	133	435
235	133	433
236	134	432
237	134	430
238	134	429
239	135	427
240	135	426
241	135	424
242	135	423
243	136	421
244	136	420
245	136	419
246	137	417
247	137	416
248	137	415
249	137	413
250	138	412
251	138	411
252	138	409
253	138	408
254	139	406
255	139	405
256	139	404
257	140	402
258	140	401
259	140	400
260	141	399
261	141	398
262	141	396
263	141	395
264	142	394
265	142	393
266	142	391
267	143	390
268	143	389
269	143	388
270	143	387
271	144	385
272	144	384
273	144	383
274	144	382
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	147	374
282	147	373
283	147	372
284	148	371
285	148	370
286	148	369
287	148	368
288	149	367
289	149	366
290	149	365
291	150	364
292	150	363
293	150	362
294	151	361
295	151	360
296	151	359
297	152	358
298	152	357
299	152	355
300	152	354
301	153	353
302	153	352
303	153	351
304	153	350
305	154	349
306	154	348
307	154	347
308	155	346
309	155	345
310	155	345
311	156	344
312	156	343
313	156	342
314	156	341
315	157	340
316	157	339
317	157	338
318	158	337
319	158	336
320	158	335
321	158	334
322	159	333
323	159	332
324	159	331
325	160	331
326	160	330
327	160	329
328	161	328
329	161	327
330	161	326
331	161	325
332	162	324
333	162	324
334	162	323
335	163	322
336	163	321
337	163	320
338	164	319
339	164	319
340	164	318
341	165	317
342	165	316
343	165	315
344	165	314
345	166	314
346	166	313
347	166	312
348	167	311
349	167	310
350	167	309
351	167	309
352	168	308
353	168	307
354	168	306
355	169	305
356	169	305
357	169	304
358	169	303
359	170	302
360	170	302
361	170	301
362	171	300
363	171	299
364	171	299
365	172	298
366	172	297
367	172	296
368	173	296
369	173	295
370	173	294
371	174	294
372	174	293
373	174	292
374	175	292
375	175	291
376	175	290
377	176	290
378	176	289
379	176	288
380	177	287
381	177	287
382	177	286
383	178	285
384	178	284
385	178	284
386	179	283
387	179	283
388	179	282
389	180	281
390	180	281
391	180	280
392	181	279
393	181	279
394	181	278
395	182	277
396	182	277
397	182	276
398	183	275
399	183	275
400	183	274
401	184	273
402	184	273
403	184	272
404	185	272
405	185	271
406	185	270
407	186	270
408	186	269
409	186	268
410	187	268
411	187	267
412	187	266
413	188	266
414	188	265
415	188	264
416	189	264
417	189	263
418	189	263
419	190	262
420	190	261
421	190	261
422	191	260
423	191	259
424	191	259
425	191	258
426	192	258
427	192	257
428	192	256
429	193	256
430	193	255
431	193	255
432	194	254
433	194	253
434	194	253
435	195	252
436	195	252
437	195	251
438	196	250
439	196	250
440	196	249
441	197	248
442	197	248
443	197	247
444	198	247
445	198	246
446	198	246
447	199	245
448	199	244
449	199	244
450	200	243
451	200	243
452	200	242
453	201	241
454	201	241
455	201	240
456	202	240
457	202	239
458	202	238
459	202	238
460	203	237
461	203	237
462	203	236
463	204	235
464	204	235
465	204	234
466	205	234
467	205	233
468	205	233
469	206	232
470	206	231
471	206	231
472	207	230
473	207	230
474	207	229
475	208	229
476	208	228
477	208	227
478	208	227
479	209	226
480	209	226
481	209	225
482	210	224
483	210	224
484	210	223
485	211	223
486	211	222
487	211	222
488	212	221
489	212	220
490	212	220
491	212	219
492	213	219
493	213	218
494	213	218
495	214	217
496	214	217
497	214	216
498	215	215
499	215	215
500	215	214
501	216	214
502	216	213
503	216	213
504	217	212
505	217	212
506	217	211
507	217	211
508	218	210
509	218	210
510	218	209
511	219	209
512	219	208
513	220	208
514	220	207
515	220	206
516	220	206
517	221	205
518	221	205
519	221	204
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	224	201
526	224	201
527	224	200
528	225	200
529	225	199
530	225	199
531	225	198
532	226	198
533	226	197
534	226	197
535	227	196
536	227	196
537	227	195
538	228	195
539	228	194
540	228	194
541	229	193
542	229	193
543	229	192
544	230	192
545	230	191
546	230	191
547	230	190
548	231	189
549	231	189
550	231	188
551	232	188
552	232	187
553	232	187
554	232	186
555	233	186
556	233	185
557	233	185
558	234	184
559	234	184
560	234	183
561	235	183
562	235	182
563	235	182
564	236	181
565	236	181
566	236	180
567	237	180
568	237	179
569	237	179
570	238	178
571	238	178
572	238	177
573	239	177
574	239	176
575	239	176
576	239	175
577	240	175
578	240	174
579	240	174
580	241	173
581	241	173
582	241	172
583	242	172
584	242	171
585	242	171
586	243	171
587	243	170
588	243	170
589	243	169
590	244	169
591	244	168
592	244	168
593	245	167
594	245	167
595	245	166
596	246	166
597	246	165
598	246	165
599	247	164
600	247	164
601	247	163
602	247	163
603	248	162
604	248	162
605	248	161
606	249	161
607	249	160
608	249	160
609	249	159
610	250	159
611	250	158
612	250	158
613	251	157
614	251	157
615	251	156
616	251	156
617	252	155
618	252	155
619	252	155
620	253	154
621	253	154
622	253	153
623	254	153
624	254	152
625	254	152
626	254	151
627	255	151
628	255	150
629	255	150
630	256	149
631	256	149
632	256	148
633	257	148
634	257	147
635	257	147
636	257	146
637	258	146
638	258	146
639	258	145
640	259	145
641	259	144
642	259	144
643	259	143
644	260	143
645	260	142
646	260	142
647	261	141
648	261	141
649	261	140
650	262	140
651	262	140
652	262	139
653	263	139
654	263	138
655	263	138
656	264	137
657	264	137
658	264	136
659	264	136
660	265	136
661	265	135
662	265	135
663	266	134
664	266	134
665	266	133
666	267	133
667	267	132
668	267	132
669	268	132
670	268	131
671	268	131
672	268	130
673	269	130
674	269	129
675	269	129
676	270	128
677	270	128
678	270	127
679	271	127
680	271	127
681	271	126
682	271	126
683	272	125
684	272	125
685	272	124
686	273	124
687	273	124
688	273	123
689	274	123
690	274	122
691	274	122
692	274	121
693	275	121
694	275	120
695	275	120
696	276	120
697	276	119
698	276	119
699	277	118
700	277	118
701	277	117
702	278	117
703	278	117
704	278	116
705	279	116
706	279	115
707	279	115
708	279	114
709	280	114
710	280	114
711	280	113
712	281	113
713	281	112
714	281	112
715	282	111
716	282	111
717	282	111
718	283	110
719	283	110
720	283	109
721	284	109
722	284	108
723	284	108
724	285	108
725	285	107
726	285	107
727	286	106
728	286	106
729	286	106
730	286	105
731	287	105
732	287	104
733	287	104
734	288	103
735	288	103
736	288	103
737	288	102
738	289	102
739	289	101
740	289	101
741	290	100
742	290	100
743	291	100
744	291	99
745	292	99
746	292	99
747	292	98
748	293	98
749	293	97
750	293	97
751	294	96
752	294	96
753	294	96
754	295	95
755	295	95
756	295	94
757	296	94
758	296	94
759	296	93
760	297	93
761	297	92
762	297	92
763	298	92
764	298	91
765	298	91
766	298	90
767	299	90
768	299	89
769	299	89
770	300	89
771	300	88
772	300	88
773	301	87
774	301	87
775	301	87
776	302	86
777	302	86
778	302	85
779	303	85
780	303	85
781	303	84
782	303	84
783	304	83
784	304	83
785	304	83
786	305	82
787	305	82
788	305	81
789	306	81
790	306	80
791	306	80
792	307	80
793	307	79
794	307	79
795	308	78
796	308	78
797	308	78
798	309	77
799	309	77
800	309	76
801	310	76
802	310	76
803	310	75
804	311	75
805	311	74
806	311	74
807	312	74
808	312	73
809	312	73
810	312	72
811	313	72
812	313	72
813	313	71
814	314	71
815	314	70
816	314	70
817	315	70
818	315	69
819	315	69
820	316	68
821	316	68
822	316	68
823	317	67
824	317	67
825	317	66
826	317	66
827	318	66
828	318	65
829	318	65
830	319	64
831	319	64
832	319	64
833	320	63
834	320	63
835	320	62
836	320	62
837	321	62
838	321	61
839	321	61
840	322	60
841	322	60
842	322	60
843	323	59
844	323	59
845	323	58
846	324	58
847	324	58
848	324	57
849	325	57
850	325	56
851	325	56
852	326	56
853	326	55
854	326	55
855	327	55
856	327	54
857	327	54
858	328	53
859	328	53
860	328	53
861	328	52
862	329	52
863	329	51
864	329	51
865	330	51
866	330	50
867	330	50
868	331	49
869	331	49
870	331	49
871	331	48
872	332	48
873	332	47
874	332	47
875	333	47
876	333	46
877	333	46
878	334	45
879	334	45
880	334	45
881	335	44
882	335	44
883	335	44
884	335	43
885	336	43
886	336	42
887	336	42
888	337	42
889	337	41
890	337	41
891	338	40
892	338	40
893	338	40
894	338	39
895	339	39
896	339	38
897	339	38
898	340	38
899	340	37
900	340	37
901	341	37
902	341	36
903	341	36
904	341	35
905	342	35
906	342	35
907	342	34
908	343	34
909	343	33
910	343	33
911	343	33
912	344	32
913	344	32
914	344	32
915	345	31
916	345	31
917	345	30
918	345	30
919	346	30
920	346	29
921	346	29
922	347	28
923	347	28
924	347	28
925	348	27
926	348	27
927	348	27
928	348	26
929	349	26
930	349	25
931	349	25
932	350	25
933	350	24
934	350	24
935	351	24
936	351	23
937	351	23
938	352	22
939	352	22
940	352	22
941	353	21
942	353	21
943	353	20
944	354	20
945	354	20
946	354	19
947	354	19
948	355	19
949	355	18
950	355	18
951	356	17
952	356	17
953	356	17
954	357	16
955	357	16
956	357	16
957	357	15
958	358	15
959	358	14
960	358	14
961	359	14
962	359	13
963	359	13
964	360	13
965	360	12
966	360	12
967	360	11
968	361	11
969	361	11
970	361	10
971	361	10
972	362	10
973	362	9
974	362	9
975	363	8
976	363	8
977	363	8
978	363	7
979	364	7
980	364	7
981	365	6
982	365	6
983	365	5
984	366	5
985	366	5
986	366	4
987	366	4
988	367	4
989	367	3
990	367	3
991	368	2
992	368	2
993	368	2
994	368	1
995	369	1
996	369	1
997	369	0
998	370	0
999	370	0
