iter	Passed	Remaining
0	48	48346
1	48	24374
2	49	16378
3	49	12383
4	50	9981
5	50	8374
6	50	7227
7	51	6383
8	51	5719
9	52	5188
10	52	4754
11	53	4393
12	53	4084
13	54	3821
14	54	3593
15	55	3394
16	55	3225
17	56	3068
18	56	2927
19	57	2800
20	57	2686
21	58	2583
22	58	2489
23	59	2402
24	59	2323
25	60	2251
26	60	2185
27	61	2123
28	61	2066
29	62	2011
30	62	1961
31	63	1915
32	63	1871
33	64	1834
34	65	1794
35	65	1756
36	66	1721
37	66	1688
38	67	1657
39	67	1627
40	68	1598
41	68	1570
42	69	1544
43	69	1519
44	70	1495
45	70	1472
46	71	1450
47	72	1428
48	72	1408
49	73	1389
50	73	1370
51	74	1353
52	74	1336
53	75	1319
54	75	1303
55	76	1286
56	76	1271
57	77	1256
58	77	1242
59	78	1228
60	78	1215
61	79	1202
62	79	1189
63	80	1176
64	81	1165
65	81	1153
66	82	1142
67	82	1132
68	83	1121
69	83	1111
70	84	1100
71	85	1098
72	85	1092
73	86	1083
74	87	1074
75	87	1065
76	88	1057
77	88	1048
78	89	1040
79	89	1032
80	90	1023
81	90	1016
82	91	1005
83	91	997
84	92	990
85	92	983
86	93	976
87	93	969
88	94	963
89	94	956
90	95	950
91	95	944
92	96	938
93	96	933
94	97	927
95	98	926
96	99	921
97	99	917
98	100	912
99	100	908
100	101	903
101	102	899
102	103	897
103	103	893
104	104	889
105	104	885
106	105	880
107	106	875
108	106	871
109	107	866
110	107	862
111	108	857
112	108	853
113	109	848
114	109	844
115	110	840
116	110	835
117	111	832
118	111	828
119	112	824
120	112	820
121	113	815
122	113	811
123	114	807
124	114	804
125	115	800
126	115	796
127	116	792
128	116	789
129	117	786
130	118	782
131	118	779
132	119	776
133	119	773
134	120	770
135	120	767
136	121	764
137	121	761
138	122	759
139	123	757
140	123	754
141	124	750
142	124	747
143	125	745
144	125	742
145	126	741
146	127	738
147	127	736
148	128	733
149	128	730
150	129	728
151	130	725
152	130	723
153	131	721
154	131	718
155	132	716
156	132	713
157	133	711
158	134	709
159	134	707
160	135	703
161	135	701
162	136	699
163	136	696
164	137	694
165	137	693
166	138	690
167	139	688
168	139	686
169	140	685
170	140	682
171	141	680
172	142	679
173	142	676
174	143	674
175	143	673
176	144	671
177	144	669
178	145	667
179	146	665
180	146	664
181	147	662
182	147	659
183	148	657
184	148	655
185	149	653
186	149	651
187	150	649
188	150	647
189	151	645
190	151	642
191	152	640
192	152	637
193	153	635
194	153	633
195	153	631
196	154	629
197	154	626
198	155	624
199	155	622
200	156	620
201	156	618
202	156	616
203	157	613
204	157	611
205	158	609
206	158	606
207	158	604
208	159	602
209	159	599
210	159	597
211	160	595
212	160	593
213	161	591
214	161	589
215	161	587
216	162	585
217	162	583
218	163	581
219	163	579
220	163	577
221	164	576
222	164	574
223	165	572
224	165	570
225	165	568
226	166	566
227	166	563
228	166	561
229	167	559
230	167	557
231	167	555
232	168	553
233	168	551
234	168	549
235	169	547
236	169	546
237	169	544
238	170	542
239	170	540
240	170	538
241	171	536
242	171	534
243	172	533
244	172	531
245	172	529
246	173	527
247	173	525
248	173	524
249	174	522
250	174	520
251	174	518
252	175	516
253	175	515
254	175	513
255	176	511
256	176	510
257	176	508
258	177	506
259	177	505
260	177	503
261	178	501
262	178	500
263	178	498
